close,high,low,symbol,timestamp
7692,7692,7691.5,XBTUSD,2018-06-07T17:44:00.000Z
7692,7692,7691,XBTUSD,2018-06-07T17:43:00.000Z
7691.5,7691.5,7691,XBTUSD,2018-06-07T17:42:00.000Z
7691.5,7691.5,7691,XBTUSD,2018-06-07T17:41:00.000Z
7691.5,7691.5,7691,XBTUSD,2018-06-07T17:40:00.000Z
7691.5,7691.5,7687,XBTUSD,2018-06-07T17:39:00.000Z
7687,7687,7686.5,XBTUSD,2018-06-07T17:38:00.000Z
7687,7687,7686.5,XBTUSD,2018-06-07T17:37:00.000Z
7687,7687.5,7686.5,XBTUSD,2018-06-07T17:36:00.000Z
7687.5,7693.5,7686.5,XBTUSD,2018-06-07T17:35:00.000Z
7693,7695,7693,XBTUSD,2018-06-07T17:34:00.000Z
7694.5,7695,7691.5,XBTUSD,2018-06-07T17:33:00.000Z
7692,7692,7691.5,XBTUSD,2018-06-07T17:32:00.000Z
7692,7692,7691.5,XBTUSD,2018-06-07T17:31:00.000Z
7691.5,7692,7691.5,XBTUSD,2018-06-07T17:30:00.000Z
7692,7692,7691.5,XBTUSD,2018-06-07T17:29:00.000Z
7691.5,7692,7691.5,XBTUSD,2018-06-07T17:28:00.000Z
7691.5,7692,7688.5,XBTUSD,2018-06-07T17:27:00.000Z
7689,7689,7686.5,XBTUSD,2018-06-07T17:26:00.000Z
7687,7687,7683.5,XBTUSD,2018-06-07T17:25:00.000Z
7683.5,7689.5,7683.5,XBTUSD,2018-06-07T17:24:00.000Z
7684.5,7684.5,7680.5,XBTUSD,2018-06-07T17:23:00.000Z
7681,7681,7680.5,XBTUSD,2018-06-07T17:22:00.000Z
7681,7681,7678.5,XBTUSD,2018-06-07T17:21:00.000Z
7681,7684,7681,XBTUSD,2018-06-07T17:20:00.000Z
7684,7685.5,7683.5,XBTUSD,2018-06-07T17:19:00.000Z
7685,7685,7681,XBTUSD,2018-06-07T17:18:00.000Z
7681.5,7682,7678,XBTUSD,2018-06-07T17:17:00.000Z
7682,7687.5,7661.5,XBTUSD,2018-06-07T17:16:00.000Z
7661.5,7687,7661,XBTUSD,2018-06-07T17:15:00.000Z
7684,7695.5,7677,XBTUSD,2018-06-07T17:14:00.000Z
7695.5,7698.5,7693.5,XBTUSD,2018-06-07T17:13:00.000Z
7698,7699,7697.5,XBTUSD,2018-06-07T17:12:00.000Z
7698,7705,7697.5,XBTUSD,2018-06-07T17:11:00.000Z
7703.5,7703.5,7697,XBTUSD,2018-06-07T17:10:00.000Z
7697.5,7710.5,7697,XBTUSD,2018-06-07T17:09:00.000Z
7710,7710.5,7704.5,XBTUSD,2018-06-07T17:08:00.000Z
7705,7705,7702.5,XBTUSD,2018-06-07T17:07:00.000Z
7702.5,7703,7699.5,XBTUSD,2018-06-07T17:06:00.000Z
7700,7700,7694.5,XBTUSD,2018-06-07T17:05:00.000Z
7695,7697.5,7692,XBTUSD,2018-06-07T17:04:00.000Z
7697,7709.5,7697,XBTUSD,2018-06-07T17:03:00.000Z
7709.5,7728.5,7691.5,XBTUSD,2018-06-07T17:02:00.000Z
